scenario,method,metric,mean,std,ci95_low,ci95_high,n
high,ppo,mean_waiting_time_s,71.70367754233907,8.078773023383262,65.677007541798,78.31479465802384,5
high,ppo,teleports,318.0,51.56064390598706,277.6,358.4,5
high,ppo,throughput_vehicles,1714.6,176.33575927757818,1575.0,1854.2,5
high,ppo_llm_ungated,emergency_stops,0.0,0.0,0.0,0.0,5
high,ppo_llm_ungated,mean_speed_m_s,2.9952562840497534,0.42940019612862246,2.6922405108412515,3.35841309423678,5
high,ppo_llm_ungated,mean_stopped_vehicles,699.0122222222222,77.63252139462186,638.0561111111112,759.9683333333332,5
high,ppo_llm_ungated,mean_waiting_time_s,73.4882047459784,5.443688051293366,68.98643854503284,77.57031473328439,5
high,ppo_llm_ungated,teleports,311.2,43.320895650944244,278.6,347.0,5
high,ppo_llm_ungated,throughput_vehicles,1676.8,157.26633460470808,1556.6,1797.0,5
low,ergs,emergency_stops,0.0,0.0,0.0,0.0,5
low,ergs,mean_speed_m_s,10.173518017701372,0.14850569132652827,10.06624587049892,10.298439494868905,5
low,ergs,mean_stopped_vehicles,13.48333333333333,0.5328448283610449,13.015555555555556,13.817222222222222,5
low,ergs,mean_waiting_time_s,9.79717962722629,0.706716049183697,9.217420039097883,10.330990656010488,5
low,ergs,teleports,1.0,1.0,0.2,1.8,5
low,ergs,throughput_vehicles,941.0,3.082207001484488,939.0,943.8,5
low,ergs_no_guard,emergency_stops,0.0,0.0,0.0,0.0,5
low,ergs_no_guard,mean_speed_m_s,10.173518017701372,0.14850569132652827,10.06624587049892,10.298439494868905,5
low,ergs_no_guard,mean_stopped_vehicles,13.48333333333333,0.5328448283610449,13.015555555555556,13.817222222222222,5
low,ergs_no_guard,mean_waiting_time_s,9.79717962722629,0.706716049183697,9.217420039097883,10.330990656010488,5
low,ergs_no_guard,teleports,1.0,1.0,0.2,1.8,5
low,ergs_no_guard,throughput_vehicles,941.0,3.082207001484488,939.0,943.8,5
low,ergs_no_hysteresis,emergency_stops,0.0,0.0,0.0,0.0,5
low,ergs_no_hysteresis,mean_speed_m_s,10.173518017701372,0.14850569132652827,10.06624587049892,10.298439494868905,5
low,ergs_no_hysteresis,mean_stopped_vehicles,13.48333333333333,0.5328448283610449,13.015555555555556,13.817222222222222,5
low,ergs_no_hysteresis,mean_waiting_time_s,9.79717962722629,0.706716049183697,9.217420039097883,10.330990656010488,5
low,ergs_no_hysteresis,teleports,1.0,1.0,0.2,1.8,5
low,ergs_no_hysteresis,throughput_vehicles,941.0,3.082207001484488,939.0,943.8,5
low,ergs_no_trigger,emergency_stops,0.0,0.0,0.0,0.0,5
low,ergs_no_trigger,mean_speed_m_s,10.645409192561573,0.10848891548827065,10.567189492103216,10.73882483377606,5
low,ergs_no_trigger,mean_stopped_vehicles,11.148888888888889,0.4650127769384937,10.78388888888889,11.51388888888889,5
low,ergs_no_trigger,mean_waiting_time_s,7.776940319799445,0.5112928343763568,7.395951927704499,8.186894717340053,5
low,ergs_no_trigger,teleports,0.8,0.8366600265340756,0.2,1.4,5
low,ergs_no_trigger,throughput_vehicles,945.8,3.420526275297414,943.4,948.6,5
low,fixed,emergency_stops,0.0,0.0,0.0,0.0,5
low,fixed,mean_speed_m_s,11.195463787843561,0.26708010835630497,10.96507698864804,11.386779664194776,5
low,fixed,mean_stopped_vehicles,8.691666666666666,1.137002163477751,7.966111111111111,9.678888888888888,5
low,fixed,mean_waiting_time_s,4.335829061372477,2.0032263105789987,3.162414260432906,6.1715003073547505,5
low,fixed,teleports,2.0,3.9370039370059056,0.0,5.6,5
low,fixed,throughput_vehicles,948.8,5.974947698515862,943.6,952.8,5
low,max_pressure,emergency_stops,0.0,0.0,0.0,0.0,5
low,max_pressure,mean_speed_m_s,11.032163914809109,0.14938595553818018,10.900286973977748,11.13906417008283,5
low,max_pressure,mean_stopped_vehicles,9.401666666666666,0.5134029233734408,9.036666666666667,9.849444444444444,5
low,max_pressure,mean_waiting_time_s,6.483572943496168,0.9737329091914702,5.824666719652075,7.303895273031868,5
low,max_pressure,teleports,1.6,1.140175425099138,0.6,2.4,5
low,max_pressure,throughput_vehicles,948.8,1.6431676725154984,947.4,949.8,5
low,ppo,emergency_stops,0.0,0.0,0.0,0.0,5
low,ppo,mean_speed_m_s,10.173518017701372,0.14850569132652827,10.06624587049892,10.298439494868905,5
low,ppo,mean_stopped_vehicles,13.48333333333333,0.5328448283610449,13.015555555555556,13.817222222222222,5
low,ppo,mean_waiting_time_s,9.79717962722629,0.706716049183697,9.217420039097883,10.330990656010488,5
low,ppo,teleports,1.0,1.0,0.2,1.8,5
low,ppo,throughput_vehicles,941.0,3.082207001484488,939.0,943.8,5
low,ppo_llm_ungated,emergency_stops,0.0,0.0,0.0,0.0,5
low,ppo_llm_ungated,mean_speed_m_s,10.635485276299764,0.1809376451047236,10.47782948549602,10.758628186610277,5
low,ppo_llm_ungated,mean_stopped_vehicles,11.161666666666667,0.6367639784076441,10.794444444444444,11.734444444444446,5
low,ppo_llm_ungated,mean_waiting_time_s,7.673733446945586,0.6388728493192195,7.2763878638050015,8.247830005128446,5
low,ppo_llm_ungated,teleports,0.6,0.8944271909999159,0.0,1.4,5
low,ppo_llm_ungated,throughput_vehicles,940.6,5.9833101206606365,935.8,945.4,5
medium,ergs,emergency_stops,0.0,0.0,0.0,0.0,5
medium,ergs,mean_speed_m_s,8.838247641582772,0.4819599622129109,8.455879528035037,9.220615755130506,5
medium,ergs,mean_stopped_vehicles,46.69666666666667,7.662924660457774,40.73555555555555,52.65777777777778,5
medium,ergs,mean_waiting_time_s,14.656099186206575,4.067079061573046,11.49912646066271,17.813071911750438,5
medium,ergs,teleports,10.4,8.35463942968217,4.0,16.8,5
